🤖 AI Tools & Assistants,CATEGORY,SUBCATEGORY
Zoom H1n - Portable recorder,🖥️ Hardware & Equipment Tools,Audio Equipment
Rode PodMic - Podcasting microphone,🖥️ Hardware & Equipment Tools,Audio Equipment
Beyerdynamic DT 770 - Studio headphones,🖥️ Hardware & Equipment Tools,Audio Equipment
,,
Video Equipment,,
Logitech C920 - Webcam standard,🖥️ Hardware & Equipment Tools,Video Equipment
Sony a7S III - Video camera,🖥️ Hardware & Equipment Tools,Video Equipment
Canon EOS R5 - Hybrid camera,🖥️ Hardware & Equipment Tools,Video Equipment
Elgato Stream Deck - Content creation controller,🖥️ Hardware & Equipment Tools,Video Equipment
Elgato Key Light - LED lighting,🖥️ Hardware & Equipment Tools,Video Equipment
Neewer LED Panels - Budget lighting,🖥️ Hardware & Equipment Tools,Video Equipment
Rode Wireless GO - Wireless microphone system,🖥️ Hardware & Equipment Tools,Video Equipment
"OBS-compatible devices - Capture cards, etc.",🖥️ Hardware & Equipment Tools,Video Equipment
,,
Office Equipment,,
"Standing Desks - Varidesk, Uplift, etc.",🖥️ Hardware & Equipment Tools,Office Equipment
"Ergonomic Chairs - Herman Miller, Steelcase, etc.",🖥️ Hardware & Equipment Tools,Office Equipment
"Monitors - LG UltraWide, Dell UltraSharp, etc.",🖥️ Hardware & Equipment Tools,Office Equipment
"Keyboard & Mouse - Mechanical keyboards, ergonomic mice",🖥️ Hardware & Equipment Tools,Office Equipment
"Webcams - Logitech, Razer, etc.",🖥️ Hardware & Equipment Tools,Office Equipment
"Printers - Brother, HP, Canon",🖥️ Hardware & Equipment Tools,Office Equipment
"Scanners - Fujitsu ScanSnap, etc.",🖥️ Hardware & Equipment Tools,Office Equipment
"Networking Equipment - Ubiquiti, Netgear, etc.",🖥️ Hardware & Equipment Tools,Office Equipment
,,
⚖️ Legal & Compliance Tools,,
Legal Document Management,,
LegalZoom - DIY legal services,⚖️ Legal & Compliance Tools,Legal Document Management
Rocket Lawyer - Legal document creation,⚖️ Legal & Compliance Tools,Legal Document Management
LawDepot - Legal forms and documents,⚖️ Legal & Compliance Tools,Legal Document Management
Nolo - Legal information and forms,⚖️ Legal & Compliance Tools,Legal Document Management
"Contract Tools - PandaDoc, DocuSign, etc.",⚖️ Legal & Compliance Tools,Legal Document Management
IP Management - Trademark and patent tools,⚖️ Legal & Compliance Tools,Legal Document Management
Corporate Filings - State filing services,⚖️ Legal & Compliance Tools,Legal Document Management
"Legal Research - Westlaw, LexisNexis",⚖️ Legal & Compliance Tools,Legal Document Management
,,
Privacy & Compliance,,
OneTrust - Privacy management platform,⚖️ Legal & Compliance Tools,Privacy & Compliance
TrustArc - Privacy compliance,⚖️ Legal & Compliance Tools,Privacy & Compliance
Cookiebot - Cookie consent management,⚖️ Legal & Compliance Tools,Privacy & Compliance
Osano - Data privacy platform,⚖️ Legal & Compliance Tools,Privacy & Compliance
Usercentrics - Consent management,⚖️ Legal & Compliance Tools,Privacy & Compliance
GDPR compliance tools - Various specialized tools,⚖️ Legal & Compliance Tools,Privacy & Compliance
"SOC 2 compliance - Vanta, SecureFrame, etc.",⚖️ Legal & Compliance Tools,Privacy & Compliance
HIPAA compliance - Healthcare-specific tools,⚖️ Legal & Compliance Tools,Privacy & Compliance
,,
Business Registration & Licensing,,
Incfile - Business formation,⚖️ Legal & Compliance Tools,Business Registration & Licensing
ZenBusiness - LLC formation,⚖️ Legal & Compliance Tools,Business Registration & Licensing
Northwest Registered Agent - Registered agent services,⚖️ Legal & Compliance Tools,Business Registration & Licensing
MyCorporation - Business formation services,⚖️ Legal & Compliance Tools,Business Registration & Licensing
State government portals - Direct filing options,⚖️ Legal & Compliance Tools,Business Registration & Licensing
EIN application - IRS business tax ID,⚖️ Legal & Compliance Tools,Business Registration & Licensing
Business licenses - Local and state licensing,⚖️ Legal & Compliance Tools,Business Registration & Licensing
Professional licenses - Industry-specific licensing,⚖️ Legal & Compliance Tools,Business Registration & Licensing
,,
👥 HR & Recruiting Tools,,
Applicant Tracking Systems,,
Greenhouse - Hiring platform,👥 HR & Recruiting Tools,Applicant Tracking Systems
Lever - Talent acquisition suite,👥 HR & Recruiting Tools,Applicant Tracking Systems
BambooHR - HR software platform,👥 HR & Recruiting Tools,Applicant Tracking Systems
Workday - Enterprise HR platform,👥 HR & Recruiting Tools,Applicant Tracking Systems
ADP - Payroll and HR services,👥 HR & Recruiting Tools,Applicant Tracking Systems
Gusto - Small business HR platform,👥 HR & Recruiting Tools,Applicant Tracking Systems
Namely - Mid-market HR platform,👥 HR & Recruiting Tools,Applicant Tracking Systems
UltiPro - HR management system,👥 HR & Recruiting Tools,Applicant Tracking Systems
,,
Job Posting & Sourcing,,
LinkedIn Recruiter - Professional network recruiting,👥 HR & Recruiting Tools,Job Posting & Sourcing
Indeed - Job posting platform,👥 HR & Recruiting Tools,Job Posting & Sourcing
Glassdoor - Company reviews and jobs,👥 HR & Recruiting Tools,Job Posting & Sourcing
ZipRecruiter - Job distribution service,👥 HR & Recruiting Tools,Job Posting & Sourcing
Monster - Job search website,👥 HR & Recruiting Tools,Job Posting & Sourcing
CareerBuilder - Talent acquisition platform,👥 HR & Recruiting Tools,Job Posting & Sourcing
AngelList - Startup job platform,👥 HR & Recruiting Tools,Job Posting & Sourcing
Stack Overflow Jobs - Developer-focused jobs,👥 HR & Recruiting Tools,Job Posting & Sourcing
,,
Background Checks & Verification,,
Checkr - Background check platform,👥 HR & Recruiting Tools,Background Checks & Verification
HireRight - Employment screening,👥 HR & Recruiting Tools,Background Checks & Verification
Sterling - Background verification,👥 HR & Recruiting Tools,Background Checks & Verification
GoodHire - Online background checks,👥 HR & Recruiting Tools,Background Checks & Verification
Accurate Background - Screening services,👥 HR & Recruiting Tools,Background Checks & Verification
First Advantage - Background screening,👥 HR & Recruiting Tools,Background Checks & Verification
Employment verification - Various services,👥 HR & Recruiting Tools,Background Checks & Verification
Reference checking - Automated reference tools,👥 HR & Recruiting Tools,Background Checks & Verification
,,
Employee Engagement & Performance,,
15Five - Performance management,👥 HR & Recruiting Tools,Employee Engagement & Performance
Lattice - People management platform,👥 HR & Recruiting Tools,Employee Engagement & Performance
Culture Amp - Employee feedback platform,👥 HR & Recruiting Tools,Employee Engagement & Performance
Officevibe - Employee engagement,👥 HR & Recruiting Tools,Employee Engagement & Performance
TINYpulse - Employee feedback tool,👥 HR & Recruiting Tools,Employee Engagement & Performance
Glint - Employee engagement analytics,👥 HR & Recruiting Tools,Employee Engagement & Performance
Performance reviews - Various review platforms,👥 HR & Recruiting Tools,Employee Engagement & Performance
360-degree feedback - Multi-rater feedback tools,👥 HR & Recruiting Tools,Employee Engagement & Performance
,,
🎧 Customer Support Tools,,
Help Desk Platforms,,
Zendesk - Customer service platform,🎧 Customer Support Tools,Help Desk Platforms
Freshdesk - Customer support software,🎧 Customer Support Tools,Help Desk Platforms
Intercom - Customer messaging platform,🎧 Customer Support Tools,Help Desk Platforms
Help Scout - Help desk for small businesses,🎧 Customer Support Tools,Help Desk Platforms
ServiceNow - Enterprise service management,🎧 Customer Support Tools,Help Desk Platforms
Jira Service Management - IT service desk,🎧 Customer Support Tools,Help Desk Platforms
Kayako - Customer service platform,🎧 Customer Support Tools,Help Desk Platforms
Zoho Desk - Help desk software,🎧 Customer Support Tools,Help Desk Platforms
,,
Live Chat & Messaging,,
Intercom - Customer messaging,🎧 Customer Support Tools,Live Chat & Messaging
Drift - Conversational marketing,🎧 Customer Support Tools,Live Chat & Messaging
LiveChat - Live chat software,🎧 Customer Support Tools,Live Chat & Messaging
Olark - Live chat for websites,🎧 Customer Support Tools,Live Chat & Messaging
Crisp - Multichannel messaging,🎧 Customer Support Tools,Live Chat & Messaging
Tawk.to - Free live chat,🎧 Customer Support Tools,Live Chat & Messaging
ChatBot - AI chatbot platform,🎧 Customer Support Tools,Live Chat & Messaging
ManyChat - Facebook Messenger marketing,🎧 Customer Support Tools,Live Chat & Messaging
,,
Knowledge Base & Documentation,,
Confluence - Team documentation,🎧 Customer Support Tools,Knowledge Base & Documentation
Notion - All-in-one workspace,🎧 Customer Support Tools,Knowledge Base & Documentation
GitBook - Documentation platform,🎧 Customer Support Tools,Knowledge Base & Documentation
Slab - Team knowledge base,🎧 Customer Support Tools,Knowledge Base & Documentation
Guru - Knowledge management,🎧 Customer Support Tools,Knowledge Base & Documentation
Document360 - Knowledge base software,🎧 Customer Support Tools,Knowledge Base & Documentation
Helpjuice - Knowledge base platform,🎧 Customer Support Tools,Knowledge Base & Documentation
Zendesk Guide - Self-service support,🎧 Customer Support Tools,Knowledge Base & Documentation
,,
Voice & Phone Support,,
RingCentral - Cloud communications,🎧 Customer Support Tools,Voice & Phone Support
8x8 - VoIP phone system,🎧 Customer Support Tools,Voice & Phone Support
Vonage - Business communications,🎧 Customer Support Tools,Voice & Phone Support
Grasshopper - Virtual phone system,🎧 Customer Support Tools,Voice & Phone Support
Nextiva - Business phone service,🎧 Customer Support Tools,Voice & Phone Support
Aircall - Cloud-based phone system,🎧 Customer Support Tools,Voice & Phone Support
Five9 - Cloud contact center,🎧 Customer Support Tools,Voice & Phone Support
Genesys - Customer experience platform,🎧 Customer Support Tools,Voice & Phone Support
,,
📊 Research & Survey Tools,,
Survey Platforms,,
SurveyMonkey - Online survey tool,📊 Research & Survey Tools,Survey Platforms
Typeform - Interactive forms and surveys,📊 Research & Survey Tools,Survey Platforms
Google Forms - Free form builder,📊 Research & Survey Tools,Survey Platforms
Qualtrics - Experience management platform,📊 Research & Survey Tools,Survey Platforms
SurveyGizmo - Advanced survey platform,📊 Research & Survey Tools,Survey Platforms
Formstack - Online form builder,📊 Research & Survey Tools,Survey Platforms
JotForm - Form building platform,📊 Research & Survey Tools,Survey Platforms
Microsoft Forms - Simple survey tool,📊 Research & Survey Tools,Survey Platforms
,,
Market Research Tools,,
Statista - Market data and statistics,📊 Research & Survey Tools,Market Research Tools
IBISWorld - Industry research reports,📊 Research & Survey Tools,Market Research Tools
Nielsen - Consumer insights and analytics,📊 Research & Survey Tools,Market Research Tools
Euromonitor - Market research provider,📊 Research & Survey Tools,Market Research Tools
Mintel - Market intelligence,📊 Research & Survey Tools,Market Research Tools
GWI - Consumer insights platform,📊 Research & Survey Tools,Market Research Tools
YouGov - Public opinion research,📊 Research & Survey Tools,Market Research Tools
Pew Research - Fact-based research,📊 Research & Survey Tools,Market Research Tools
,,
User Research & Testing,,
UserTesting - User experience research,📊 Research & Survey Tools,User Research & Testing
Lookback - Live user research,📊 Research & Survey Tools,User Research & Testing
Hotjar - User behavior analytics,📊 Research & Survey Tools,User Research & Testing
FullStory - Digital experience analytics,📊 Research & Survey Tools,User Research & Testing
Crazy Egg - Website heatmaps,📊 Research & Survey Tools,User Research & Testing
Optimal Workshop - User research platform,📊 Research & Survey Tools,User Research & Testing
Maze - User testing platform,📊 Research & Survey Tools,User Research & Testing
UsabilityHub - Remote user research,📊 Research & Survey Tools,User Research & Testing
,,
Academic Research Tools,,
JSTOR - Academic journal database,📊 Research & Survey Tools,Academic Research Tools
Google Scholar - Academic search engine,📊 Research & Survey Tools,Academic Research Tools
ResearchGate - Scientific social network,📊 Research & Survey Tools,Academic Research Tools
Mendeley - Reference management,📊 Research & Survey Tools,Academic Research Tools
Zotero - Research assistant,📊 Research & Survey Tools,Academic Research Tools
EndNote - Reference management,📊 Research & Survey Tools,Academic Research Tools
SAGE Research Methods - Research methodology,📊 Research & Survey Tools,Academic Research Tools
Scopus - Abstract and citation database,📊 Research & Survey Tools,Academic Research Tools
,,
🎪 Event Management Tools,,
Event Planning Platforms,,
Eventbrite - Event ticketing and promotion,🎪 Event Management Tools,Event Planning Platforms
Meetup - Community event platform,🎪 Event Management Tools,Event Planning Platforms
Facebook Events - Social media events,🎪 Event Management Tools,Event Planning Platforms
Hopin - Virtual and hybrid events,🎪 Event Management Tools,Event Planning Platforms
Whova - Event management app,🎪 Event Management Tools,Event Planning Platforms
Cvent - Enterprise event management,🎪 Event Management Tools,Event Planning Platforms
Bizzabo - Event success platform,🎪 Event Management Tools,Event Planning Platforms
Splash - Event marketing platform,🎪 Event Management Tools,Event Planning Platforms
,,
Virtual Event Platforms,,
Zoom - Video conferencing,🎪 Event Management Tools,Virtual Event Platforms
Microsoft Teams - Collaboration platform,🎪 Event Management Tools,Virtual Event Platforms
WebEx - Video conferencing,🎪 Event Management Tools,Virtual Event Platforms
GoToWebinar - Webinar platform,🎪 Event Management Tools,Virtual Event Platforms
ON24 - Digital experience platform,🎪 Event Management Tools,Virtual Event Platforms
BigMarker - Virtual event platform,🎪 Event Management Tools,Virtual Event Platforms
Crowdcast - Live video platform,🎪 Event Management Tools,Virtual Event Platforms
StreamYard - Live streaming platform,🎪 Event Management Tools,Virtual Event Platforms
,,
Registration & Ticketing,,
Eventbrite - Online ticketing,🎪 Event Management Tools,Registration & Ticketing
Brown Paper Tickets - Event ticketing,🎪 Event Management Tools,Registration & Ticketing
TicketTailor - Event ticketing platform,🎪 Event Management Tools,Registration & Ticketing
Ticket Tailor - White-label ticketing,🎪 Event Management Tools,Registration & Ticketing
Universe - Event ticketing by Ticketmaster,🎪 Event Management Tools,Registration & Ticketing
Picatic - Event ticketing platform,🎪 Event Management Tools,Registration & Ticketing
Regpack - Registration management,🎪 Event Management Tools,Registration & Ticketing
Aventri - Event management software,🎪 Event Management Tools,Registration & Ticketing
,,
Event Marketing Tools,,
Mailchimp - Email marketing for events,🎪 Event Management Tools,Event Marketing Tools
Constant Contact - Email marketing,🎪 Event Management Tools,Event Marketing Tools
Buffer - Social media scheduling,🎪 Event Management Tools,Event Marketing Tools
Canva - Event design materials,🎪 Event Management Tools,Event Marketing Tools
Splashthat - Event website builder,🎪 Event Management Tools,Event Marketing Tools
Luma - Event discovery platform,🎪 Event Management Tools,Event Marketing Tools
Peatix - Event ticketing and promotion,🎪 Event Management Tools,Event Marketing Tools
DoubleDutch - Event engagement platform,🎪 Event Management Tools,Event Marketing Tools
,,
💾 Backup & Disaster Recovery,,
Personal Backup Solutions,,
Backblaze - Personal cloud backup,💾 Backup & Disaster Recovery,Personal Backup Solutions
Carbonite - Automatic backup service,💾 Backup & Disaster Recovery,Personal Backup Solutions
CrashPlan - Business backup service,💾 Backup & Disaster Recovery,Personal Backup Solutions
SpiderOak - Privacy-focused backup,💾 Backup & Disaster Recovery,Personal Backup Solutions
pCloud - Cloud storage with backup,💾 Backup & Disaster Recovery,Personal Backup Solutions
IDrive - Cloud backup service,💾 Backup & Disaster Recovery,Personal Backup Solutions
Acronis True Image - Disk imaging backup,💾 Backup & Disaster Recovery,Personal Backup Solutions
Time Machine - Mac built-in backup,💾 Backup & Disaster Recovery,Personal Backup Solutions
,,
Business Backup Solutions,,
Veeam - Enterprise backup platform,💾 Backup & Disaster Recovery,Business Backup Solutions
Commvault - Data management platform,💾 Backup & Disaster Recovery,Business Backup Solutions
Rubrik - Cloud data management,💾 Backup & Disaster Recovery,Business Backup Solutions
Cohesity - Data management platform,💾 Backup & Disaster Recovery,Business Backup Solutions
Druva - Cloud data protection,💾 Backup & Disaster Recovery,Business Backup Solutions
AWS Backup - Centralized backup service,💾 Backup & Disaster Recovery,Business Backup Solutions
Azure Backup - Microsoft cloud backup,💾 Backup & Disaster Recovery,Business Backup Solutions
Google Cloud Backup - Google's backup service,💾 Backup & Disaster Recovery,Business Backup Solutions
,,
Disaster Recovery Platforms,,
Zerto - IT resilience platform,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
VMware Site Recovery - Disaster recovery,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
AWS Disaster Recovery - Cloud DR service,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
Azure Site Recovery - Disaster recovery service,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
Datto - Business continuity platform,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
StorageCraft - Backup and recovery,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
MSP360 - Cloud backup platform,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
Unitrends - Enterprise backup and recovery,💾 Backup & Disaster Recovery,Disaster Recovery Platforms
,,
✈️ Travel & Expense Management,,
Travel Booking Platforms,,
Expedia for Business - Corporate travel,✈️ Travel & Expense Management,Travel Booking Platforms
Booking.com for Business - Business travel,✈️ Travel & Expense Management,Travel Booking Platforms
Concur Travel - SAP travel management,✈️ Travel & Expense Management,Travel Booking Platforms
Egencia - Expedia's business travel,✈️ Travel & Expense Management,Travel Booking Platforms
CWT - Corporate travel management,✈️ Travel & Expense Management,Travel Booking Platforms
American Express GBT - Global business travel,✈️ Travel & Expense Management,Travel Booking Platforms
BCD Travel - Corporate travel services,✈️ Travel & Expense Management,Travel Booking Platforms
Travelport - Travel technology platform,✈️ Travel & Expense Management,Travel Booking Platforms
,,
Expense Management,,
Expensify - Expense report automation,✈️ Travel & Expense Management,Expense Management
Concur Expense - SAP expense management,✈️ Travel & Expense Management,Expense Management
Rydoo - European expense management,✈️ Travel & Expense Management,Expense Management
Zoho Expense - Simple expense tracking,✈️ Travel & Expense Management,Expense Management
Receipt Bank - Receipt management,✈️ Travel & Expense Management,Expense Management
Shoeboxed - Receipt organization,✈️ Travel & Expense Management,Expense Management
Chrome River - Expense management,✈️ Travel & Expense Management,Expense Management
Certify - Expense and invoice management,✈️ Travel & Expense Management,Expense Management
,,
Corporate Card Management,,
American Express Business - Corporate credit cards,✈️ Travel & Expense Management,Corporate Card Management
Chase Business Cards - Business credit solutions,✈️ Travel & Expense Management,Corporate Card Management
Capital One Spark - Business credit cards,✈️ Travel & Expense Management,Corporate Card Management
Divvy - Expense management platform,✈️ Travel & Expense Management,Corporate Card Management
Brex - Startup-focused corporate cards,✈️ Travel & Expense Management,Corporate Card Management
Ramp - Corporate card and expense management,✈️ Travel & Expense Management,Corporate Card Management
Airbase - Spend management platform,✈️ Travel & Expense Management,Corporate Card Management
Pleo - European business spending,✈️ Travel & Expense Management,Corporate Card Management
,,
🔬 Scientific & Research Tools,,
Laboratory Information Management,,
LabWare LIMS - Laboratory information system,🔬 Scientific & Research Tools,Laboratory Information Management
Thermo Fisher LIMS - Scientific data management,🔬 Scientific & Research Tools,Laboratory Information Management
Waters NuGenesis - Laboratory data management,🔬 Scientific & Research Tools,Laboratory Information Management
STARLIMS - Laboratory information management,🔬 Scientific & Research Tools,Laboratory Information Management
LabVantage - LIMS platform,🔬 Scientific & Research Tools,Laboratory Information Management
CloudLAB - Cloud-based lab notebook,🔬 Scientific & Research Tools,Laboratory Information Management
Benchling - Life sciences R&D platform,🔬 Scientific & Research Tools,Laboratory Information Management
PerkinElmer Signals - Research platform,🔬 Scientific & Research Tools,Laboratory Information Management
,,
Statistical Analysis Software,,
R - Statistical computing language,🔬 Scientific & Research Tools,Statistical Analysis Software
SAS - Statistical analysis system,🔬 Scientific & Research Tools,Statistical Analysis Software
SPSS - Statistical software package,🔬 Scientific & Research Tools,Statistical Analysis Software
Stata - Statistical software,🔬 Scientific & Research Tools,Statistical Analysis Software
MATLAB - Technical computing platform,🔬 Scientific & Research Tools,Statistical Analysis Software
Mathematica - Computational software,🔬 Scientific & Research Tools,Statistical Analysis Software
JMP - Statistical analysis software,🔬 Scientific & Research Tools,Statistical Analysis Software
GraphPad Prism - Biostatistics software,🔬 Scientific & Research Tools,Statistical Analysis Software
,,
Reference Management,,
Zotero - Free reference manager,🔬 Scientific & Research Tools,Reference Management
Mendeley - Academic reference manager,🔬 Scientific & Research Tools,Reference Management
EndNote - Reference management software,🔬 Scientific & Research Tools,Reference Management
RefWorks - Web-based reference manager,🔬 Scientific & Research Tools,Reference Management
Papers - Academic reference manager,🔬 Scientific & Research Tools,Reference Management
Citavi - Knowledge organization tool,🔬 Scientific & Research Tools,Reference Management
ReadCube - Enhanced PDF reader,🔬 Scientific & Research Tools,Reference Management
Bookends - Mac reference manager,🔬 Scientific & Research Tools,Reference Management
,,
Research Collaboration,,
ResearchGate - Scientific social network,🔬 Scientific & Research Tools,Research Collaboration
Academia.edu - Academic social platform,🔬 Scientific & Research Tools,Research Collaboration
ORCID - Researcher identifier system,🔬 Scientific & Research Tools,Research Collaboration
Figshare - Research data repository,🔬 Scientific & Research Tools,Research Collaboration
Zenodo - Research data repository,🔬 Scientific & Research Tools,Research Collaboration
Open Science Framework - Research collaboration,🔬 Scientific & Research Tools,Research Collaboration
Overleaf - Collaborative LaTeX editor,🔬 Scientific & Research Tools,Research Collaboration
Authorea - Collaborative writing platform,🔬 Scientific & Research Tools,Research Collaboration
,,
🌍 Translation & Localization Tools,,
Translation Platforms,,
Google Translate - Free online translation,🌍 Translation & Localization Tools,Translation Platforms
DeepL - AI-powered translation,🌍 Translation & Localization Tools,Translation Platforms
Microsoft Translator - Translation service,🌍 Translation & Localization Tools,Translation Platforms
Amazon Translate - Machine translation service,🌍 Translation & Localization Tools,Translation Platforms
SDL Trados - Professional translation software,🌍 Translation & Localization Tools,Translation Platforms
memoQ - Translation management system,🌍 Translation & Localization Tools,Translation Platforms
Phrase - Localization platform,🌍 Translation & Localization Tools,Translation Platforms
Lokalise - Translation management platform,🌍 Translation & Localization Tools,Translation Platforms
,,
Localization Management,,
Crowdin - Localization management platform,🌍 Translation & Localization Tools,Localization Management
Transifex - Localization platform,🌍 Translation & Localization Tools,Localization Management
Smartling - Translation management system,🌍 Translation & Localization Tools,Localization Management
Lingohub - Translation management,🌍 Translation & Localization Tools,Localization Management
OneSky - Localization service,🌍 Translation & Localization Tools,Localization Management
Weblate - Web-based translation,🌍 Translation & Localization Tools,Localization Management
Zanata - Translation platform,🌍 Translation & Localization Tools,Localization Management
Translation Workspace - Enterprise localization,🌍 Translation & Localization Tools,Localization Management
,,
Language Learning Platforms,,
Duolingo - Gamified language learning,🌍 Translation & Localization Tools,Language Learning Platforms
Babbel - Conversation-focused learning,🌍 Translation & Localization Tools,Language Learning Platforms
Rosetta Stone - Immersion method learning,🌍 Translation & Localization Tools,Language Learning Platforms
Busuu - Social language learning,🌍 Translation & Localization Tools,Language Learning Platforms
HelloTalk - Language exchange platform,🌍 Translation & Localization Tools,Language Learning Platforms
italki - 1-on-1 language tutoring,🌍 Translation & Localization Tools,Language Learning Platforms
Preply - Online language tutoring,🌍 Translation & Localization Tools,Language Learning Platforms
Lingoda - Online language school,🌍 Translation & Localization Tools,Language Learning Platforms
,,
Cultural Adaptation Tools,,
Hofstede Insights - Cultural analysis,🌍 Translation & Localization Tools,Cultural Adaptation Tools
Country Navigator - Cultural intelligence,🌍 Translation & Localization Tools,Cultural Adaptation Tools
GlobeSmart - Cultural intelligence platform,🌍 Translation & Localization Tools,Cultural Adaptation Tools
Cultural Detective - Intercultural analysis,🌍 Translation & Localization Tools,Cultural Adaptation Tools
Meyer Scale - Cultural dimensions,🌍 Translation & Localization Tools,Cultural Adaptation Tools
Aperian Global - Cultural competency,🌍 Translation & Localization Tools,Cultural Adaptation Tools
CultureGrams - Country culture guides,🌍 Translation & Localization Tools,Cultural Adaptation Tools
Executive Planet - Business culture guides,🌍 Translation & Localization Tools,Cultural Adaptation Tools
,,
♿ Accessibility & Inclusion Tools,,
Web Accessibility Testing,,
axe DevTools - Accessibility testing,♿ Accessibility & Inclusion Tools,Web Accessibility Testing
WAVE - Web accessibility evaluation,♿ Accessibility & Inclusion Tools,Web Accessibility Testing
Lighthouse - Google's accessibility audit,♿ Accessibility & Inclusion Tools,Web Accessibility Testing
Pa11y - Command-line accessibility testing,♿ Accessibility & Inclusion Tools,Web Accessibility Testing
Accessibility Insights - Microsoft accessibility tools,♿ Accessibility & Inclusion Tools,Web Accessibility Testing
Stark - Design accessibility plugin,♿ Accessibility & Inclusion Tools,Web Accessibility Testing
Colour Contrast Analyser - Color testing tool,♿ Accessibility & Inclusion Tools,Web Accessibility Testing
"Screen readers - NVDA, JAWS, VoiceOver",♿ Accessibility & Inclusion Tools,Web Accessibility Testing
,,
Design Accessibility Tools,,
Stark - Design accessibility plugin,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
Colour Oracle - Color blindness simulator,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
WebAIM Color Contrast Checker - Contrast testing,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
Sim Daltonism - Color blindness simulator,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
Figma accessibility plugins - Various design tools,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
Adobe accessibility tools - Built-in accessibility features,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
Sketch accessibility plugins - Design accessibility tools,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
InVision accessibility features - Prototyping accessibility,♿ Accessibility & Inclusion Tools,Design Accessibility Tools
,,
Communication & Language Tools,,
Be My Eyes - Visual assistance app,♿ Accessibility & Inclusion Tools,Communication & Language Tools
Seeing AI - Microsoft's visual recognition,♿ Accessibility & Inclusion Tools,Communication & Language Tools
Lookout - Google's visual assistance,♿ Accessibility & Inclusion Tools,Communication & Language Tools
Dragon Speech Recognition - Voice-to-text software,♿ Accessibility & Inclusion Tools,Communication & Language Tools
Windows Speech Recognition - Built-in voice control,♿ Accessibility & Inclusion Tools,Communication & Language Tools
Voice Control - Apple's voice navigation,♿ Accessibility & Inclusion Tools,Communication & Language Tools
Switch Access - Android accessibility,♿ Accessibility & Inclusion Tools,Communication & Language Tools
AssistiveTouch - iOS accessibility feature,♿ Accessibility & Inclusion Tools,Communication & Language Tools
,,
Workplace Inclusion Platforms,,
Texthelp - Reading and writing support,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
Read&Write - Literacy support software,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
Immersive Reader - Microsoft reading tool,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
ClaroRead - Text-to-speech software,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
WordQ - Writing support software,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
Co:Writer - Word prediction software,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
Ginger Software - Grammar and spell check,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
Grammarly - Writing assistance tool,♿ Accessibility & Inclusion Tools,Workplace Inclusion Platforms
